#{"t_start": 1752938115.047905, "env_id": "None"}
r,l,t
-530723.506999,150,13.67394
-546077.543729,150,33.3005
-558401.364448,150,44.225504
-983919.858241,150,50.692573
-977764.852772,150,69.146824
-550834.34594,150,81.366266
-662828.243009,150,95.970432
-561025.58725,150,108.836571
-653868.977664,150,124.621569
-885127.018699,150,131.370758
-511056.31073,150,147.12737
-589050.422066,150,161.673909
-512123.256893,150,184.522912
-571025.741952,150,199.294134
-537420.087707,150,206.403459
-608633.404464,150,224.873326
-579415.791281,150,236.611531
-560509.652197,150,249.696962
-728287.316903,150,260.878242
-803237.2753,150,271.654986
-517886.009735,150,291.452999
-524799.564251,150,310.088132
-502642.272663,150,330.394439
-526199.997952,150,351.842806
-547394.018837,150,373.480762
-561627.452426,150,398.385074
-968185.172603,150,406.836884
-1198631.796619,150,430.772861
-1206303.429918,150,1398.573635
-1166195.027989,150,1406.97642
-1206557.904416,150,1421.799779
-527692.383611,150,1451.768507
-538388.443724,150,1480.7674
-574426.605998,150,1505.252233
-553181.357696,150,1526.555214
-499447.653253,150,2090.596936
-508071.421481,150,2109.575375
-507818.2739,150,2125.785412
-502837.494384,150,3084.684571
-504366.621053,150,3106.786688
-489701.242018,150,4053.414531
-534426.916258,150,4071.912219
-490175.313244,150,4090.928196
-562693.298337,150,4108.636588
-500286.177118,150,4119.548064
-526098.132348,150,5031.481864
-529242.383465,150,5035.979022
-533893.392249,150,5041.647661
-533443.167486,150,5047.492792
-523378.72034,150,5051.681638
-526816.687563,150,5057.558855
-521028.597999,150,5063.556391
-533480.291073,150,5071.16803
-534467.947502,150,5075.154449
-530533.953487,150,6003.000534
-533169.075235,150,6008.293489
-534230.959036,150,6012.865812
-533888.118652,150,6018.545192
-892054.710789,150,6027.888149
-1196568.244439,150,6033.22635
-1197077.820022,150,6039.061179
-1198594.749945,150,6050.306324
-1061649.13832,150,6055.137789
-1193438.739067,150,6060.497931
-1187735.813612,150,6068.033178
-1190408.230577,150,6076.81926
-1191399.643785,150,6085.447958
-1181364.775379,150,6093.781098
-1202295.014503,150,6104.305875
-1201541.529198,150,6112.150134
-1195677.809377,150,6121.204664
-1194493.373086,150,6134.864642
-1192600.378583,150,6146.496295
-1202969.631119,150,6155.120141
-1199482.512687,150,6167.483517
-1194671.016912,150,6179.869713
-1208526.691048,150,6191.932876
-1159100.334028,150,6202.556394
-1215293.450702,150,6216.538195
-1195913.257014,150,6229.359285
-1214047.16302,150,6244.080837
-1199371.120258,150,6251.393021
-1212547.399911,150,6263.453468
-1179681.639036,150,6274.116746
-1196906.459545,150,6286.863504
-1184793.271845,150,6294.68756
-1207163.113167,150,6310.137793
-1208137.263613,150,6333.861933
-1212178.442093,150,6352.322832
-1216500.019807,150,6369.764782
-1199414.872963,150,6394.136455
-1211794.913354,150,6412.175693
-1218120.228437,150,7396.182805
-1194292.545421,150,7428.031273
-1175067.586573,150,7433.563014
-1197628.028356,150,7501.097144
-1016205.846294,150,7513.877739
-1213892.710337,150,7528.716993
-1220673.999381,150,7543.529144
-1197358.043982,150,7553.210039
-1026709.528156,150,7717.875525
-545985.595619,150,7748.545959
-560376.906055,150,8779.119707
-630418.918676,150,8803.690715
-561513.331406,150,9055.06589
-530564.596911,150,9085.723843
-540321.050573,150,9198.055469
-557734.647512,150,9224.003119
