#{"t_start": 1751970741.425039, "env_id": "None"}
r,l,t
-8.653904,150,4.547411
-6.033092,150,33.813648
-11.661229,150,66.060928
-3.562176,150,97.465201
-8.980442,150,130.468535
-5.825396,150,163.849478
-9.31299,150,194.320507
-7.355882,150,224.217987
-9.54909,150,233.519103
-4.679511,150,237.85491
-7.035022,150,241.949225
-10.032662,150,245.364724
-8.872662,150,248.7366
-4.205782,150,253.322668
-5.787141,150,258.329716
-5.441909,150,262.911718
-7.78617,150,267.017715
-9.68964,150,270.149325
-7.222602,150,274.724802
-8.152088,150,278.322145
-3.539973,150,290.917222
-6.730655,150,295.566791
-3.513775,150,299.624712
-4.560667,150,305.613398
-6.407336,150,310.042555
-6.82325,150,314.644692
-8.243704,150,319.143239
-7.197454,150,324.416468
-3.880103,150,333.588083
-7.518531,150,337.683415
-6.143332,150,343.601325
-8.642756,150,347.220836
-7.683552,150,351.184862
-8.189146,150,354.361544
-5.564937,150,358.898465
-2.534685,150,383.599262
-4.495052,150,393.647829
-5.887201,150,397.614116
-5.483418,150,403.596678
-3.061648,150,410.292844
-5.18516,150,423.500659
-8.467564,150,427.166984
-8.570592,150,433.20347
-6.291099,150,450.973303
-6.960352,150,460.336699
-3.776948,150,475.758728
-8.461168,150,479.017872
-6.214794,150,483.052915
-13.492774,150,486.176672
-9.381197,150,493.683158
-9.250033,150,514.382634
-7.468058,150,518.653059
-7.022175,150,528.540457
-0.561642,150,545.831572
-6.508919,150,566.486177
-5.022339,150,571.38706
-6.019752,150,578.228663
-4.149263,150,584.066159
-5.090601,150,590.763841
-6.16319,150,595.518387
-6.342956,150,602.314257
-3.686888,150,607.368355
-9.770206,150,611.663262
-10.409167,150,615.266577
-2.225875,150,622.413143
-13.346326,150,625.953689
-9.602644,150,631.21026
-4.305894,150,636.463367
-4.049995,150,641.338738
-8.514932,150,665.633975
-8.04894,150,690.257571
-8.867,150,697.128545
-4.716544,150,702.387152
-11.88742,150,711.583716
-1.454056,150,718.729278
-10.744333,150,726.91071
-4.249096,150,733.430658
-5.358504,150,738.793163
-10.837953,150,742.359638
-7.7955,150,750.184095
-8.157623,150,754.178763
-8.779552,150,757.641925
-6.342971,150,762.288036
-10.7186,150,765.566054
-7.744099,150,769.336688
-7.749131,150,788.376819
-7.383178,150,792.680234
-3.798435,150,805.728835
-7.228388,150,810.623849
-4.78045,150,816.338463
-6.422756,150,825.718809
-11.062497,150,830.93333
-6.585639,150,835.310755
-3.500418,150,846.084856
-5.417747,150,850.685101
-0.681331,150,861.547761
-4.000527,150,875.05325
-5.015493,150,880.087084
-6.592207,150,884.356923
-5.013385,150,904.229955
-5.590361,150,912.271223
-5.74559,150,935.037374
-8.934543,150,938.649013
-4.973133,150,953.792161
-4.592061,150,965.193552
-6.310659,150,983.263272
-5.01271,150,987.886621
-8.136947,150,991.451624
-9.901439,150,995.148014
-7.72149,150,999.722816
-5.598798,150,1005.025624
-5.151083,150,1028.556684
-4.69594,150,1042.071011
-8.55424,150,1045.329613
-8.48562,150,1049.006497
-6.537858,150,1064.706583
-3.016544,150,1078.593996
-2.674523,150,1084.885771
-5.237081,150,1106.055211
-8.864129,150,1109.565703
-11.170651,150,1115.286068
-11.212386,150,1118.887508
-3.732896,150,1123.746574
-7.226274,150,1140.646288
-7.451916,150,1145.084319
-9.426779,150,1164.952597
-6.636174,150,1180.129555
-8.836444,150,1189.399924
-8.360038,150,1192.772885
-7.121217,150,1197.083706
-6.038841,150,1201.895244
-7.656416,150,1222.124619
-8.064336,150,1230.611722
-6.998755,150,1234.938242
-3.725023,150,1248.587178
-7.416724,150,1252.664627
-6.209952,150,1257.390733
-6.060785,150,1270.673658
-7.642652,150,1274.798944
-3.318615,150,1280.974478
-11.233435,150,1287.842377
-7.65456,150,1291.572466
-7.634727,150,1295.79213
-10.111131,150,1299.185954
-4.958579,150,1307.743069
-6.291707,150,1313.619974
-10.516181,150,1319.189736
-3.51764,150,1326.748485
-5.966229,150,1332.761857
-7.911239,150,1337.061166
-9.194805,150,1340.456059
-7.132116,150,1344.587147
