#{"t_start": 1748212582.7620428, "env_id": "None"}
r,l,t
-6009272.204675,150,8.91004
-7357567.394951,150,13.892442
-13612888.963145,150,20.730258
-14190272.51933,150,28.364738
-13586379.615862,150,36.706917
-10730288.666126,150,41.314192
-11837775.310284,150,45.759875
-18462513.0034,150,59.323326
-13513555.037781,150,70.678765
-13131829.160482,150,78.94091
-10526998.242078,150,87.249078
-5408890.532026,150,95.200722
-5577727.797261,150,108.152659
-9384382.496704,150,117.667237
-3029270.531292,150,122.712668
-10212385.679172,150,131.130432
-10942252.339414,150,138.436018
-9457700.347342,150,143.153077
-10366035.401848,150,156.983685
-5897491.799901,150,163.542985
-11901518.350816,150,172.034284
-11189230.120586,150,180.15407
-5699017.367808,150,185.574193
-9985774.21967,150,197.125956
-4857873.586338,150,207.529103
-6375018.7808,150,215.38466
-5819061.998253,150,220.652304
-11148513.359549,150,232.008768
-8017080.255751,150,238.902017
-8935933.489753,150,243.608108
-8393160.936479,150,248.95841
-7320103.485525,150,253.674755
-3843393.261957,150,270.442859
-8225981.834728,150,281.988602
-6253104.816961,150,296.098263
-10855551.306082,150,302.967895
-9219738.109472,150,311.722536
-3553062.331473,150,319.361512
-9208018.867137,150,326.159898
-9574155.674872,150,331.540444
-3206920.761669,150,337.074867
-5760074.178638,150,343.20527
-6772357.37732,150,348.589434
-10401731.310028,150,354.507274
-9148384.000948,150,360.446931
-4090843.417087,150,373.127169
-9603185.024359,150,378.075427
-2043035.271676,150,384.006913
-10621820.659306,150,399.232353
-5798313.384807,150,409.89871
-9031936.617608,150,417.944595
-10241419.213247,150,422.240525
-7723082.418537,150,426.922202
-6361538.726574,150,435.990495
-6975571.10964,150,441.570809
-11145260.640455,150,450.916464
-4683820.163496,150,465.776914
-8557283.513243,150,474.985402
-10379403.628628,150,482.270033
-4295951.423123,150,496.884139
-7883693.066321,150,514.160238
-6219048.25904,150,523.351019
-10110285.342338,150,529.149836
-7187066.330641,150,535.06193
-11978516.382445,150,545.035179
-9690390.242752,150,549.474498
-13516634.057982,150,556.116345
-9326338.140889,150,567.426871
-5971158.404032,150,573.788328
-5080125.708117,150,584.915726
-12105807.244006,150,594.387169
-6810841.461666,150,609.109035
-5246702.338605,150,614.360617
-8739250.112665,150,621.183644
-11753361.287817,150,629.029102
-9843266.736427,150,636.33777
-8441406.620548,150,641.539917
-9840770.867491,150,649.268552
-5118862.966372,150,657.625781
-6051453.659857,150,665.262758
-10449051.078819,150,669.804835
-13215054.913896,150,674.993404
-7538259.007307,150,680.261271
-6990436.639866,150,688.805003
-8626613.241975,150,694.913412
-8590093.131623,150,701.6181
-6273852.822727,150,712.235758
-6627181.495155,150,717.617541
-10336218.895594,150,726.00167
-4789125.020894,150,733.765236
-6159716.112608,150,741.114288
-11477892.763035,150,747.248103
-7124438.995173,150,753.991606
-6560959.653466,150,760.842978
-10107502.9428,150,768.434233
-8175642.631269,150,773.293865
-12828609.027364,150,782.476467
-6233698.640732,150,790.236123
-9937422.485775,150,798.409923
-4680104.558291,150,812.401422
-4161479.166569,150,819.838716
-8728054.234971,150,842.816405
-8247541.501477,150,848.711152
-9973661.164145,150,854.263566
-7730736.513352,150,868.08766
-8444656.83369,150,874.323706
-8670368.143521,150,879.436778
-8324166.396939,150,887.076798
-9340828.836943,150,896.525301
-5562418.607963,150,902.534421
-7068363.212721,150,911.181731
-4247186.779008,150,917.092407
-10867742.15152,150,921.67909
-6174856.48788,150,927.125527
-6950511.187735,150,932.087348
-6593176.271223,150,939.090976
-8911163.134678,150,945.207196
-12491482.058375,150,953.554589
-8433041.271968,150,965.047654
-13118431.740895,150,969.862044
-7475219.833337,150,976.594612
-6380481.766,150,988.122507
-10361487.73441,150,994.714397
-6738843.75169,150,1003.501358
-8387821.068761,150,1010.232061
-15538034.288235,150,1016.733944
-6683015.143992,150,1021.782964
-3150930.025885,150,1026.802426
-8531052.772973,150,1036.86618
-3764463.710065,150,1044.965385
-10532285.829301,150,1049.608381
-12164813.974159,150,1058.582418
-4991105.064236,150,1066.371915
-4955828.837125,150,1073.425122
-11148675.04613,150,1079.333182
-10910230.366656,150,1086.129398
-5062469.563637,150,1093.724699
-3262345.269545,150,1098.814994
-6616346.196845,150,1105.249329
-10302810.264069,150,1109.563146
-4275524.843156,150,1116.201102
-8423523.348692,150,1120.727318
-5526799.619799,150,1127.032694
-7118806.033233,150,1131.872038
-6466570.025713,150,1137.997758
-7512389.275229,150,1142.559385
-6886848.593442,150,1148.371307
-10986155.239127,150,1153.608015
-5021711.673607,150,1171.322128
-6459035.033557,150,1177.246595
-6590271.252049,150,1184.188194
-6719170.087008,150,1190.104421
-7105971.797654,150,1203.925782
-7193938.609196,150,1208.800675
-11732218.598916,150,1215.165936
-4755235.996784,150,1223.81637
-8704221.498126,150,1228.593848
-6774546.5572,150,1234.314309
-7877243.695762,150,1241.932352
-12153742.823667,150,1249.763399
-6652942.496199,150,1255.565456
-3567286.05662,150,1262.082948
-4590210.762645,150,1270.707957
-7340610.194101,150,1276.648266
-14634070.339786,150,1286.751053
-4549777.784878,150,1298.445275
-5447094.814564,150,1309.492757
-10321555.187718,150,1315.29924
-10429017.913089,150,1322.155098
