#{"t_start": 1748183248.456543, "env_id": "None"}
r,l,t
-6075476.07774,150,10.389947
-7459262.394447,150,18.878723
-8669480.185871,150,26.218924
-2407566.016303,150,29.109492
-5893676.934952,150,33.909375
-10767938.144155,150,39.491491
-6577759.722125,150,47.062803
-6502875.390159,150,51.295435
-11175683.678104,150,57.276172
-9454989.709104,150,63.282083
-9274161.734075,150,68.725502
-11095295.236638,150,79.97133
-11369770.468499,150,87.747102
-8327396.931825,150,96.352268
-4041769.478593,150,100.8146
-7329497.820835,150,109.349052
-12675388.173012,150,114.146621
-13017358.258095,150,123.800125
-9031258.090039,150,135.088579
-13940324.307718,150,142.578007
-11686692.786167,150,148.551546
-7754966.868553,150,153.287402
-12522184.525463,150,159.716104
-14196368.243884,150,170.289652
-11826690.036464,150,178.97391
-7307844.109821,150,185.174787
-11011856.773701,150,195.812582
-7312781.500506,150,201.334564
-9671122.534342,150,210.555661
-9625345.321582,150,216.382067
-10056193.25257,150,224.546752
-6537853.668224,150,235.024067
-7879034.45776,150,243.240835
-8306942.277171,150,249.161224
-8256058.291717,150,253.343008
-7052762.974071,150,260.345192
-8074164.314748,150,270.608171
-8708015.615378,150,276.757719
-14009387.456152,150,292.212866
-6184311.571464,150,302.412823
-8732150.921116,150,306.646416
-14108908.40224,150,317.165846
-11533210.121252,150,323.536035
-10022230.283212,150,330.86997
-14193032.852972,150,340.272458
-7321982.496589,150,353.12754
-8632732.405308,150,360.320431
-11130445.509081,150,371.749695
-9273054.579619,150,379.616962
-9024227.559061,150,390.369443
-8546315.764733,150,400.819524
-8711032.826138,150,410.505876
-9044363.869008,150,416.744875
-7012486.259728,150,426.457519
-9509640.087808,150,431.862924
-10892966.731839,150,438.614304
-7609665.481954,150,444.494854
-8968168.55999,150,458.253839
-11381276.826565,150,469.018676
-9833117.296216,150,477.972234
-8963797.295232,150,487.290808
-10749698.182384,150,496.383852
-11228205.090043,150,502.973352
-7228962.120461,150,510.043417
-7715909.068579,150,525.970566
-10693869.262889,150,537.556635
-10952269.723126,150,545.675474
-9295479.994901,150,553.721577
-9773752.012006,150,562.892445
-11936734.738899,150,571.875271
-7060264.085069,150,578.816738
-10815545.262021,150,589.228897
-7039749.169795,150,594.081319
-9001025.484262,150,598.956827
-10278761.894405,150,607.84105
-11640652.448703,150,618.604468
-8345604.962725,150,624.419135
-10776398.376371,150,633.069019
-8542999.010276,150,639.964185
-6975752.523756,150,646.293321
-9514248.164036,150,650.496277
-10955680.354309,150,656.141013
-12862469.906891,150,661.388187
-2276966.120109,150,665.380941
-14160117.323354,150,675.643734
-11331470.050226,150,685.204197
-7826875.827618,150,692.713265
-9186074.600323,150,704.061557
-10208940.821235,150,712.196805
-16262525.388075,150,722.026183
-8386125.97842,150,730.450335
-10428427.037141,150,736.071823
-9504161.076142,150,743.210856
-12955573.01652,150,751.610358
-7151656.203304,150,763.36644
-9343104.865367,150,774.04642
-11477897.529776,150,779.951057
-7865885.679914,150,785.857378
-9235210.519247,150,797.717997
-9154209.849652,150,805.42886
-9052163.749887,150,810.961142
-14771189.798221,150,822.630027
-7853898.689208,150,833.082516
-11995355.528001,150,838.358664
-8210888.575734,150,842.785238
-9651806.693434,150,851.905374
-4418441.165075,150,863.617936
-7108404.564851,150,874.785529
-11129892.897991,150,881.530843
-8688636.241052,150,898.033839
-11251794.891074,150,906.375379
-9013333.288924,150,922.634082
-8345605.095542,150,928.902384
-12408368.196916,150,935.400403
-7330930.435347,150,940.517391
-5009946.084988,150,946.156008
-8579795.252845,150,956.824704
-11630248.893408,150,962.969517
-5402843.038543,150,970.267656
-3539282.601048,150,977.465181
-7213243.386568,150,982.97242
-11685133.64329,150,996.672581
