#{"t_start": 1748197355.2493582, "env_id": "None"}
r,l,t
-5000831.430793,150,11.281601
-8407841.29617,150,20.454254
-8746236.58999,150,30.847695
-9837012.472655,150,38.014588
-4377909.010236,150,53.335986
-7677309.843321,150,62.652362
-9416067.435235,150,68.52246
-6664618.950094,150,79.284691
-8590068.969232,150,87.057002
-9059019.259696,150,101.317412
-6224818.81294,150,106.218184
-11266665.84968,150,114.18928
-6939500.748841,150,119.359842
-11803548.584812,150,125.950042
-10959273.835882,150,137.22659
-7860670.184161,150,147.397081
-8597862.537943,150,152.517981
-6292513.953214,150,170.915002
-12839943.956511,150,178.756949
-9477404.948325,150,189.943469
-5652791.247668,150,198.281693
-10387080.17212,150,682.136516
-12003368.699886,150,688.374969
-6721553.088807,150,695.733128
-7146041.324312,150,707.13635
-8707915.085962,150,711.989292
-5615722.223927,150,719.75671
-5270021.790939,150,726.041186
-6195489.161762,150,730.800967
-10507243.760681,150,735.5329
-9269242.513525,150,743.076944
-7184363.300935,150,747.852832
-8507357.784034,150,762.72771
-7476220.945245,150,768.389705
-12876190.513702,150,782.200373
-12140558.543404,150,789.121316
-12741167.495681,150,799.997203
-11711041.293931,150,812.872479
-5786640.423284,150,820.617366
-10132962.82387,150,833.350892
-8920910.920126,150,841.976979
-11954985.095298,150,850.825606
-8527456.425925,150,855.323806
-9336092.91033,150,866.485476
-11907275.967862,150,871.461551
-4941714.495958,150,877.460707
-8271864.400482,150,886.041187
-11576510.633863,150,893.248769
-5592144.416288,150,898.70892
-5945338.58689,150,905.240871
-11215557.907431,150,913.507282
-7172873.611868,150,919.129387
-8591424.170791,150,931.687404
-11572719.303209,150,947.209775
-7939190.826673,150,954.630483
-10846829.423277,150,963.18871
-5638164.384127,150,970.688641
-7550247.710534,150,976.517113
-10590285.930976,150,986.378735
-10334585.376154,150,992.845635
-11951086.571627,150,1001.352522
-3752065.910168,150,1010.562777
-9232868.630362,150,1019.666984
-10756512.724219,150,1033.957525
-7385573.575093,150,1040.469428
-10068526.813832,150,1050.489308
-9743025.555279,150,1056.814321
-8381130.587451,150,1071.506712
-7908146.421332,150,1079.181484
-9813560.769721,150,1101.461624
-5112846.161415,150,1116.540447
-12553840.657126,150,1132.445907
-5977379.289835,150,1143.625975
-8715572.035309,150,1148.346002
-3446536.727415,150,1156.376184
-7245859.505207,150,1162.473778
-9458215.997128,150,1169.217993
-6684274.661902,150,1173.993961
-13368873.958147,150,1187.863337
-12073509.900121,150,1194.482443
-9209148.189592,150,1201.592999
-9176454.803889,150,1207.625891
-5143763.828919,150,1222.22245
-9526638.801942,150,1231.8001
-11289137.428799,150,1237.934062
-8554490.862591,150,1251.325348
-13237118.807434,150,1262.260296
-7183409.437706,150,1270.628451
-7860424.189688,150,1275.892001
-8374893.67692,150,1290.220442
-13481289.938562,150,1303.459159
-11217985.21809,150,1310.892891
-7389574.673411,150,1318.277154
-7501584.263158,150,1323.604252
-7926974.086493,150,1330.260294
-11892360.519606,150,1336.034967
-9948441.232161,150,1347.767415
-6994329.077447,150,1359.275325
-3460769.891248,150,1367.285137
-8845357.976362,150,1384.700238
-10438725.338622,150,1389.649276
-11840007.001771,150,1395.066703
-13502520.356298,150,1404.283968
-12826665.252203,150,1409.13425
-9211072.614026,150,1427.058056
-9055444.958726,150,1433.978602
-9738010.737402,150,1442.285629
-7870263.480588,150,1447.433223
-4149738.584403,150,1453.992797
-10560870.528642,150,1459.158648
-12093183.150379,150,1471.486319
-6406190.970502,150,1489.303955
-8827938.468919,150,1503.521284
-6856237.019839,150,1508.829888
-8639082.918862,150,1520.840976
-6344582.391248,150,1526.26346
-7991626.86641,150,1531.526075
-5198912.145754,150,1540.327231
-4925194.467662,150,1548.403424
-8625792.261139,150,1553.348471
-6668384.50106,150,1560.640436
-7356686.043578,150,1565.645525
-5799307.290402,150,1570.481241
-8836323.034627,150,1585.717379
-7331981.735592,150,1597.412218
-8265092.565508,150,1609.346198
-7781557.004142,150,1617.990762
-9362451.02425,150,1630.197741
-9283311.361575,150,1638.47123
-7183958.927237,150,1643.842905
-5695410.741749,150,1657.162618
-10380348.358728,150,1663.471486
-9848980.577613,150,1674.041992
-7382277.625942,150,1679.450647
-6715450.811612,150,1684.46039
-6880983.55241,150,1697.172324
-3296680.881803,150,1704.580628
-7226100.217685,150,1714.442459
-8758060.855225,150,1719.457782
-11377466.470495,150,1733.844795
-7765705.045055,150,1744.359435
-9466561.650424,150,1748.692396
-11142778.760782,150,1756.309235
-10866388.710729,150,1769.100381
-9841165.717005,150,1783.026397
-8102801.316568,150,1788.321133
-13920212.784019,150,1799.152461
-5653055.300584,150,1806.485894
-9018457.256604,150,1812.837327
-11652345.050887,150,1821.434576
-5499803.774496,150,1828.252088
-4032509.499133,150,1836.270617
-10550652.346757,150,1841.365034
-10863755.375516,150,1846.761727
-9178965.918434,150,1856.922725
-9181415.287744,150,1862.819156
-7284136.743927,150,1870.432154
-10786660.293327,150,1875.85091
-8711097.238328,150,1882.23419
-8623260.101261,150,1888.204019
-10254714.406661,150,1893.839444
-11541766.765922,150,1901.187699
-7203418.007797,150,1916.421816
-8822224.907513,150,1921.363422
-8930282.52551,150,1937.511093
-6679190.101643,150,1954.015473
-8479513.768037,150,1958.798932
-12692831.158467,150,1966.994622
-3333447.444983,150,1974.505397
-2734829.792988,150,1983.151942
-11270705.335451,150,1988.539846
-11110818.452937,150,1997.899338
-7027747.569366,150,2004.858261
-7009750.043366,150,2010.949427
-8472794.72001,150,2017.707505
-9303177.715467,150,2023.764505
-7096036.034055,150,2030.866813
-7274451.787092,150,2038.415236
-8313121.225931,150,2054.15388
-5486963.114359,150,2060.599512
-8354751.044629,150,2072.814692
-10165331.984977,150,2077.491204
-10548023.199465,150,2081.711701
-9389914.453302,150,2086.42261
-8204264.777054,150,2092.13471
-11628464.669097,150,2097.083787
-5896865.882606,150,2110.888258
-9196542.792205,150,2115.407739
-11878263.535719,150,2121.372762
-9833842.981263,150,2128.918013
-11636838.584441,150,2135.993921
-11088606.255469,150,2144.246701
-3974326.694324,150,2152.563698
-12684314.760226,150,2160.998245
-11130701.156728,150,2165.156553
-7875450.129519,150,2169.682663
-8519694.108517,150,2174.384709
-11091543.542536,150,2179.548812
-9696165.075869,150,2190.219249
-6399360.271874,150,2200.997532
-7238320.445669,150,2210.091125
-6813085.296824,150,2218.553709
-9932002.98896,150,2223.073562
-6461588.32381,150,2228.383238
-6901964.573271,150,2234.071303
-6318107.510812,150,2240.531172
