#{"t_start": 1747784424.7771115, "env_id": "None"}
r,l,t
-491149.308362,150,29.63474
-520555.522299,150,52.578692
-1049766.257587,150,72.925597
-512201.014872,150,81.698921
-515893.147288,150,91.180684
-509659.646955,150,101.846046
-511353.845222,150,111.048585
-511426.529982,150,119.841735
-513671.680729,150,128.734775
-509017.800002,150,137.195345
-511705.731377,150,145.61051
-508240.562729,150,156.364954
-513543.343238,150,167.427708
-511740.986101,150,175.940116
-511928.324129,150,184.911929
-513408.256269,150,194.161637
-511425.773179,150,203.426514
-513233.95533,150,212.197614
-509507.994435,150,221.257102
-515502.669192,150,232.510603
-510853.015327,150,240.890563
-510466.939417,150,250.165653
-512451.17718,150,260.247683
-510430.73946,150,269.435062
-511660.270423,150,278.116343
-508233.613241,150,287.258816
-509356.594212,150,296.037632
-514233.647215,150,305.680051
-511833.811311,150,314.370048
-508701.032249,150,322.894917
-513582.494127,150,332.086382
-510561.79328,150,340.160264
-512235.347502,150,348.216589
-510611.669447,150,356.910176
-510144.755741,150,365.099776
-511172.645337,150,374.309938
-510252.294416,150,383.099845
-506967.698899,150,391.939533
-508067.180545,150,400.323302
-512438.598305,150,409.596239
-511116.330331,150,418.322619
-516962.678559,150,426.302606
-510008.399672,150,434.792436
-513019.697856,150,444.044125
-512714.241002,150,452.39268
-508796.556146,150,461.131204
-511077.928482,150,471.943352
-513574.727712,150,481.254538
-509856.069142,150,492.586746
-510733.69724,150,500.700494
-511523.003962,150,509.455498
-511374.369668,150,518.060283
-510806.387952,150,527.082384
-509702.751964,150,535.8576
-506911.442967,150,544.890196
-513491.874352,150,553.503287
-511451.347211,150,562.109579
-511891.58479,150,571.652194
-512495.774937,150,580.753368
-510741.431292,150,589.835311
-512374.018905,150,598.48255
-513193.268432,150,607.350212
-511612.81864,150,616.156189
-510986.476476,150,624.573634
-511223.136059,150,633.044592
-509975.704155,150,641.44632
-512990.775582,150,650.46061
-511898.716812,150,661.653517
-511776.387914,150,670.761288
-514280.093898,150,680.130509
-513253.122456,150,691.529613
-511097.57411,150,700.005944
-512899.300091,150,708.836237
-510650.161753,150,717.708933
-515133.649579,150,726.544713
-511196.11086,150,738.289116
-513911.672174,150,747.617114
-512228.270924,150,756.601032
-511788.85182,150,766.232242
-507219.020725,150,775.472702
-512707.481365,150,784.15342
-511847.887481,150,795.551032
-510952.060141,150,804.59288
-512644.507009,150,813.770582
-513529.589615,150,822.831437
-511674.878201,150,832.07963
-510399.430952,150,840.915125
-514323.857877,150,852.724262
-516273.559943,150,861.958044
-509531.323597,150,871.160585
-512852.697623,150,880.195467
-510825.740895,150,889.257381
-510667.299613,150,897.591336
-514222.200605,150,906.872391
-514450.298566,150,915.343862
-511618.873684,150,926.369751
-514804.519216,150,935.712192
-511236.85956,150,945.089931
-510876.341735,150,953.756923
-512850.356767,150,964.248428
-512339.609997,150,972.636879
-510523.458875,150,981.898215
-510892.244876,150,991.352022
-511898.216214,150,1000.064101
-510787.772929,150,1008.84794
-511694.631369,150,1017.730796
-510612.839423,150,1026.570466
-510944.414189,150,1035.179932
-507858.431555,150,1044.352443
-512632.749517,150,1053.617755
-512700.599418,150,1062.715503
-513416.009364,150,1071.921403
-506639.828383,150,1080.868563
-509969.487009,150,1090.343622
-512675.880394,150,1099.33467
-512765.427115,150,1110.372224
-511596.007864,150,1118.9881
-514273.297243,150,1128.286708
-510063.562314,150,1137.362551
-515504.716787,150,1149.194559
-514261.528994,150,1160.686967
-511191.804252,150,1169.421074
-508180.856287,150,1179.174993
-513916.442523,150,1187.871628
-509218.935437,150,1196.655408
-508907.200895,150,1205.636532
-511520.678215,150,1216.81724
-512452.128014,150,1225.52555
-511218.725035,150,1234.20392
-511089.584787,150,1243.354132
-513177.707294,150,1255.441418
-510801.492202,150,1264.157092
-512830.829385,150,1276.017602
-510469.324605,150,1284.752517
-511814.484346,150,1293.647006
-512631.916023,150,1304.650718
-509964.845684,150,1313.182607
-511080.950534,150,1323.699132
-509041.437402,150,1334.535455
-508254.003787,150,1343.307024
-513712.091001,150,1352.571024
-512084.714953,150,1363.867857
-514148.814044,150,1372.602098
-512759.737718,150,1381.771703
-509327.564758,150,1390.743894
-515295.177613,150,1399.511285
-512903.173725,150,1412.988567
-512488.515248,150,1421.888421
