#{"t_start": 1748047105.944919, "env_id": "None"}
r,l,t
-9405652.76168,150,32.654613
-7586149.45252,150,53.578303
-12632330.542896,150,67.025549
-8318491.622443,150,87.122207
-8490026.851037,150,100.535197
-9490150.698035,150,130.66729
-12924692.760094,150,160.585626
-12235041.251408,150,197.597846
-9849149.753004,150,239.475355
-10538293.354228,150,279.030491
-14791998.608503,150,324.145969
-14795545.86797,150,363.55908
-10444495.253403,150,403.826427
-2306043.30567,150,433.676659
-12574228.967315,150,478.937484
-14550794.442393,150,527.173432
-10062312.576941,150,554.415224
-19634349.844369,150,604.381096
-16251364.775754,150,629.161406
-14906421.876338,150,666.507745
-15289234.36445,150,685.999502
-12390334.410669,150,711.439652
-8287448.99563,150,725.059296
-7466631.250269,150,741.503663
-7110450.824965,150,755.21835
-6712629.70013,150,774.164897
-8069676.872869,150,792.63348
-11223129.852463,150,815.643542
-8557143.088053,150,829.428332
-4366845.254948,150,852.967947
-11020992.692504,150,886.724409
-11728632.726336,150,910.519946
-7777383.954477,150,928.85053
-8753994.543268,150,961.969242
-10493355.200906,150,1009.831324
-6626612.301294,150,1066.811608
-7172600.036079,150,1114.556621
-11682056.350083,150,1155.528762
-8216744.184614,150,1203.060624
-11296249.417313,150,1237.819875
-10555525.939286,150,1256.576945
-4123388.70236,150,1274.123502
-2381921.4835,150,1295.579901
-9170558.449327,150,1317.663274
-8367537.783105,150,1368.866759
-9167375.694542,150,1424.703073
-10500306.209717,150,1450.559799
-8547267.780721,150,1468.411167
-7080241.332382,150,1482.886415
-7330417.24337,150,1497.938809
-3849477.575702,150,1521.628059
-12091955.624327,150,1553.731597
-12130186.152227,150,1601.463487
-10507906.562563,150,1630.707524
-8923585.197336,150,1649.319076
-6872328.922161,150,1662.540524
-8820458.792693,150,1692.235278
-5247278.106751,150,1740.943256
-9553379.90438,150,1767.722105
-8824131.356069,150,1784.499425
-8184230.888191,150,1816.275289
-7671521.714932,150,1859.135112
-9382053.675885,150,1897.514909
-5581154.469946,150,1940.744612
-8205350.413857,150,1974.835036
-7455947.839632,150,2035.224335
-12642092.631307,150,2072.188837
-8028900.247044,150,2093.082404
-9105033.515639,150,2136.369047
-7180797.717544,150,2167.652222
-9956602.439491,150,2188.584505
-1993831.463672,150,2230.543478
-8275634.711538,150,2260.414931
-7604664.78222,150,2296.683835
-8968018.274507,150,2349.070067
-6271913.791923,150,2389.359228
-7380699.596365,150,2434.648659
-11318235.889496,150,2481.57018
-6913572.6087,150,2522.542951
-7277449.952653,150,2538.519417
-4337462.373993,150,2556.73108
-12420531.431375,150,2582.438253
-7951884.293099,150,2625.88488
-8346646.081766,150,2669.874817
-9612461.879393,150,2708.7953
-8532129.404093,150,2743.746711
-11532593.467777,150,2771.699949
-6586501.848393,150,2793.826619
-6290737.045572,150,2838.099862
-11687381.706867,150,2879.844258
-6217331.803683,150,2915.838604
-8875467.269486,150,2955.46314
-6739568.607568,150,2985.453821
-7629257.868889,150,3015.001333
-3351771.209757,150,3032.901454
-3692868.56824,150,3064.31395
-3441823.997948,150,3097.47091
-7858180.195219,150,3116.317378
-5355821.331683,150,3147.263549
-8278226.121427,150,3173.029419
-4386372.634346,150,3191.72891
-12349366.743713,150,3224.64964
-12558155.267654,150,3261.239203
-5528112.462117,150,3302.240858
-7905927.924076,150,3341.321854
-7896571.042976,150,3372.84129
-6841601.146488,150,3398.040915
-7328046.686721,150,3426.037387
-6661179.092207,150,3443.193021
-7108898.485442,150,3463.24623
-6956946.730167,150,3488.395273
-10225134.92578,150,3501.280344
-6539935.472414,150,3524.328886
-3893199.075085,150,3561.850286
-4684123.274862,150,3607.663128
-6264722.774192,150,3635.114831
-3555662.143751,150,3663.521421
-7820503.489026,150,3677.899918
-8700718.42242,150,3700.378221
-12806395.731593,150,3714.860901
-8159685.391546,150,3738.903486
-10806345.766898,150,3770.890003
-8265138.976991,150,3785.720769
-6834788.849869,150,3816.2888
-7111980.266711,150,3861.999705
-4644705.909289,150,3909.250333
-9244240.515807,150,3943.014042
-3986068.014685,150,3960.359197
-7804777.432563,150,3985.699409
-6881358.342505,150,4008.74055
-11030477.372371,150,4029.934545
-12777842.054791,150,4053.134251
-12145231.554831,150,4090.939472
-9942963.724612,150,4112.278675
-11105528.9513,150,4133.222541
-10471091.444044,150,4150.622343
-6960005.555748,150,4168.804309
-7416147.69256,150,4189.690419
-8096063.755213,150,4210.589849
-9454232.220211,150,4227.011861
-10749172.170504,150,4244.797237
-8926611.654537,150,4266.609015
-7388008.682788,150,4290.192157
-8765295.554716,150,4319.614807
-9499199.468848,150,4340.619364
-9992068.098628,150,4360.466383
-4700371.987635,150,4374.416237
-6255535.781185,150,4418.928513
-5911657.202144,150,4453.181761
-11233170.172364,150,4483.476472
-8663505.773289,150,4497.95717
-10146924.085787,150,4514.967864
-7170942.15679,150,4562.963686
-10351229.913533,150,4598.159444
-9296608.627655,150,4632.356294
-8449471.835844,150,4688.142965
-5443082.532551,150,4715.268522
-2224811.800281,150,4759.753596
-11031190.841035,150,4823.421076
-5265951.24205,150,4873.995676
-5416102.596142,150,4899.635592
-6845977.45544,150,4933.284614
-12046249.096993,150,4968.779419
-9727643.369895,150,5019.491495
-9591445.450623,150,5052.001053
-9554881.144551,150,5070.719566
-6385787.319822,150,5114.811189
-8006937.534432,150,5166.416267
-3175605.360784,150,5191.662021
-7004617.007395,150,5230.840615
-9915747.495356,150,5261.70242
-10004840.039529,150,5282.036823
-9006234.789955,150,5304.23105
-9340598.259071,150,5337.490149
-7388432.925851,150,5352.814487
-6103608.016085,150,5380.374184
-8805206.64816,150,5422.888796
-11613425.33659,150,5448.545355
-6637389.109611,150,5470.263978
-7178766.822838,150,5490.535735
-11780380.980796,150,5510.268741
-8560990.751494,150,5526.666416
-5416547.626996,150,5542.959511
-7876128.689944,150,5585.53547
-7135798.073328,150,5651.75702
-2812025.284816,150,5702.093822
-10480718.145533,150,5758.943581
-10380688.194797,150,5793.779555
-5014590.412166,150,5849.151347
-6788219.371115,150,5881.334917
-12044731.590897,150,5902.189829
-4294938.990026,150,5944.048725
-8913061.890503,150,5975.998264
-6178753.7577,150,6007.983867
-5289351.784063,150,6059.291165
-5606314.480454,150,6075.718763
-6101122.536492,150,6111.580411
-7798892.595476,150,6184.040621
-6809471.112743,150,6242.156881
-7283875.2328,150,6281.039082
-5307698.085662,150,6299.89139
-8420197.549443,150,6335.008711
-10974318.113109,150,6367.07222
-6282200.769715,150,6392.450161
-13029525.033832,150,6412.096519
-3671256.59847,150,6452.8578
-8805800.539597,150,6478.795405
-7084122.006275,150,6523.954202
-5335099.996422,150,6599.595042
-6228825.342346,150,6629.5907
-3543966.129623,150,6676.36954
-11304544.569515,150,6740.917479
-7206396.241161,150,6781.933701
-6018334.667173,150,6802.991306
-9789207.183154,150,6848.182576
-11933066.781045,150,6898.478179
-11954432.338496,150,6944.033318
-4450695.503267,150,6996.386546
-3843367.693054,150,7026.120781
-7613822.608255,150,7068.004565
-6934105.862367,150,7100.641963
-4623794.322191,150,7143.461137
-5171551.217101,150,7191.342356
-9601677.106481,150,7249.224557
-9211617.040837,150,7302.812867
-8872793.899195,150,7350.054888
-11624976.948774,150,7381.667197
