#{"t_start": 1748255674.142472, "env_id": "None"}
r,l,t
-8.303218,150,5.716073
-11.33493,150,15.231213
-10.646902,150,22.342776
-10.579035,150,27.874127
-12.254701,150,46.192685
-7.846459,150,54.237967
-10.501976,150,78.468515
-12.220902,150,84.14471
-8.128884,150,91.3534
-9.718631,150,102.304969
-4.840197,150,120.433915
-6.617064,150,135.394293
-6.033378,150,150.377852
-8.69672,150,155.321996
-10.291925,150,162.501911
-9.987876,150,167.454368
-9.899094,150,179.491403
-11.195573,150,192.860006
-10.709561,150,199.069051
-4.658684,150,210.403498
-5.947213,150,216.139194
-9.803133,150,221.335195
-6.563907,150,229.165445
-12.169457,150,235.51884
-9.127956,150,240.621048
-9.110641,150,251.089023
-9.967704,150,256.795048
-5.668745,150,266.0285
-6.897056,150,272.32812
-8.244482,150,278.127865
-6.583005,150,295.842434
-6.774498,150,301.029375
-11.385097,150,317.367429
-9.435265,150,330.272571
-8.167361,150,348.508883
-8.974597,150,353.994687
-7.176575,150,365.305177
-9.055438,150,371.683766
-7.767225,150,379.589718
-12.316356,150,389.59357
-6.572205,150,396.11111
-6.5064,150,403.56762
-9.254139,150,415.903499
-9.217666,150,422.862488
-11.674092,150,433.234663
-6.698536,150,438.919691
-11.066968,150,446.171987
-2.189302,150,453.064333
-9.276418,150,457.037873
-6.555571,150,473.455761
-6.10798,150,481.647422
-10.017363,150,487.052403
-5.627076,150,499.582179
-6.035651,150,512.793027
-5.13733,150,522.943106
-7.806438,150,528.012972
-8.421054,150,532.162739
-10.531345,150,536.750836
-9.886396,150,544.981383
-10.14613,150,553.936482
-6.370593,150,565.816972
-12.225188,150,578.76216
-5.751158,150,589.262785
-6.393099,150,600.125026
-12.312696,150,617.226379
-6.755844,150,622.004897
-2.329549,150,631.924021
-9.77706,150,640.758717
-5.399339,150,647.113762
-10.419368,150,658.114912
-10.493847,150,665.112857
-8.547632,150,671.964471
-7.719117,150,676.795531
-6.684894,150,687.982914
-14.217565,150,696.847458
-10.257739,150,700.843555
-8.910767,150,706.409963
-9.087634,150,714.106285
-9.465848,150,719.420868
-6.603541,150,727.407387
-10.53715,150,736.640447
-5.624018,150,741.963635
-7.774018,150,757.2243
-9.021707,150,771.608398
-2.476307,150,777.565829
-7.382951,150,785.851041
-4.335473,150,795.687996
-7.120693,150,804.382752
-6.29113,150,825.239679
-1.833248,150,834.53491
-6.718167,150,841.351603
-3.870726,150,851.76836
-6.867849,150,859.661663
-8.198207,150,865.338741
-7.201641,150,872.238612
-7.979547,150,880.100566
-4.480324,150,889.996927
-4.458221,150,900.245644
-7.316121,150,913.994297
-11.07346,150,921.744941
