#{"t_start": 1748261061.024931, "env_id": "None"}
r,l,t
-6.337992,150,5.992018
-7.884683,150,13.36564
-9.015341,150,31.272332
-4.426713,150,38.57828
-8.566822,150,46.909771
-10.452661,150,50.786991
-8.426757,150,56.179082
-10.241847,150,67.431828
-13.448403,150,77.611082
-5.789046,150,82.233766
-6.926732,150,99.196926
-7.8795,150,106.502797
-10.790111,150,115.49468
-8.000103,150,123.468598
-11.064655,150,130.109648
-9.784036,150,143.249181
-8.574528,150,149.181602
-3.370809,150,156.511134
-15.882676,150,164.695663
-10.827735,150,170.749519
-8.223214,150,182.362918
-9.859319,150,188.321166
-11.896413,150,203.607953
-10.395221,150,207.997061
-11.948402,150,221.047928
-4.702752,150,230.434896
-12.037562,150,244.356594
-7.969857,150,249.227412
-7.934094,150,264.269334
-11.03886,150,278.713562
-7.872022,150,283.692033
-7.83453,150,288.86147
-5.840221,150,293.437349
-8.472996,150,300.18685
-8.701661,150,310.264587
-9.582767,150,319.398066
-10.281713,150,323.379818
-7.771627,150,327.263544
-3.340457,150,340.177179
-10.413615,150,351.651309
-4.182798,150,367.372434
-5.908314,150,372.737392
-9.547805,150,379.675661
-6.510625,150,397.294568
-11.418258,150,403.118671
-12.171421,150,412.980321
-12.005024,150,419.410248
-7.036141,150,427.744801
-6.249515,150,437.696564
-10.077146,150,444.395746
-6.201325,150,453.849171
-5.66837,150,468.843462
-4.774581,150,475.89462
-9.758092,150,482.911444
-7.642904,150,488.518333
-9.225463,150,496.675968
-7.12227,150,512.071889
-7.611448,150,518.430441
-8.635292,150,526.873841
-9.286612,150,536.989382
-5.027369,150,543.90456
-4.981204,150,552.274916
-9.078596,150,560.173951
-9.184317,150,574.00515
-4.730839,150,590.095451
-9.894151,150,596.656751
-5.961969,150,612.497193
-5.351706,150,619.442746
-4.450172,150,631.771765
-8.100505,150,639.347581
-5.624253,150,645.120171
-10.773655,150,653.450922
-8.453157,150,665.114297
-6.243324,150,671.585802
-11.59619,150,679.885518
-6.961774,150,689.885834
-5.726918,150,694.753075
-12.779341,150,701.320956
-5.130347,150,712.465587
-6.897139,150,724.303161
-9.227742,150,730.671511
-8.917102,150,739.470928
-11.773568,150,745.00937
-7.304143,150,754.132968
-5.569974,150,759.254302
-9.099546,150,771.272378
-13.7246,150,780.593727
-6.799314,150,786.039347
-7.995893,150,798.237223
