#{"t_start": 1748254770.054262, "env_id": "None"}
r,l,t
-4.553992,150,6.935481
-12.434415,150,11.029416
-7.774307,150,17.292033
-14.046032,150,34.175844
-6.217241,150,41.373842
-9.044922,150,47.43751
-3.319402,150,55.79814
-9.067635,150,66.425217
-7.276369,150,73.696915
-7.447573,150,78.933653
-3.044277,150,86.262574
-4.282427,150,91.205984
-11.213071,150,103.326455
-8.012046,150,108.021974
-9.794124,150,119.178416
-8.314689,150,129.054295
-5.781091,150,134.377093
-6.261346,150,139.615263
-6.787275,150,146.430717
-2.535752,150,153.986312
-2.432815,150,170.36066
-7.128377,150,182.428611
-5.527822,150,189.135488
-11.862703,150,198.255001
-6.057092,150,205.01235
-8.223838,150,214.284789
-7.85465,150,221.640386
-7.876704,150,229.413804
-3.921335,150,247.365156
-5.269313,150,256.435179
-5.495971,150,263.136796
-6.636801,150,267.852548
-6.90091,150,277.333834
-5.918614,150,287.869008
-11.418884,150,295.603315
-6.720595,150,301.264362
-8.589623,150,308.814737
-6.972663,150,314.705921
-10.967706,150,325.833349
-2.086227,150,335.135137
-7.701154,150,341.949395
-11.616824,150,354.584172
-8.933776,150,372.901083
-11.083573,150,386.282974
-7.631929,150,392.365304
-8.399637,150,399.849497
-5.087219,150,407.925709
-2.19525,150,416.446876
-2.643172,150,423.71269
-9.892178,150,428.666267
-10.357022,150,436.89063
-8.323306,150,445.99323
-8.095774,150,457.620908
-6.187576,150,464.961261
-6.084962,150,473.779784
-4.94493,150,480.742838
-9.462602,150,491.515006
-7.917623,150,499.478887
-12.189665,150,509.250526
-6.767712,150,517.867746
-9.082959,150,522.79375
-8.436324,150,528.376172
-12.407766,150,536.089965
-5.833792,150,544.755969
-6.222813,150,552.759247
-6.921357,150,568.620447
-6.463358,150,574.646104
-6.472333,150,584.101828
-5.18495,150,597.597876
-8.03109,150,606.613429
-4.587954,150,623.461822
-9.195204,150,632.011653
-3.492484,150,641.021421
-6.733437,150,647.771869
-11.420733,150,658.136663
-4.547919,150,667.577294
-10.506173,150,673.383967
-8.528105,150,683.811611
-9.332612,150,694.344549
-5.24261,150,704.085744
-6.011172,150,719.510079
-8.172623,150,725.728425
-10.398619,150,733.993274
-6.101049,150,739.348649
-7.001894,150,745.402333
-5.898046,150,760.922394
-9.863858,150,769.051178
-8.58613,150,780.974145
-10.219774,150,788.006118
-10.05487,150,794.492666
-10.102493,150,801.564247
-4.774085,150,809.574271
-6.269321,150,819.944076
-11.511381,150,826.667228
-6.508561,150,835.595675
-5.835968,150,845.397733
-3.125675,150,852.315182
-11.25044,150,863.214458
-5.448671,150,878.352117
-8.810573,150,893.565797
