#{"t_start": 1748303398.252279, "env_id": "None"}
r,l,t
-6.121527,150,9.016374
-8.56552,150,28.580376
-7.753916,150,34.534374
-8.040628,150,42.045477
-6.58102,150,48.549317
-13.215079,150,58.236333
-8.813489,150,64.376119
-8.571146,150,68.722522
-7.48829,150,82.574138
-6.715337,150,88.603092
-8.441748,150,94.611044
-4.127872,150,100.516606
-12.97523,150,112.059433
-5.578719,150,117.12325
-10.675105,150,126.152352
-7.255488,150,133.892785
-12.757941,150,141.990755
-8.683355,150,154.160397
-14.34403,150,161.167171
-5.852669,150,171.195836
-7.181961,150,179.85137
-10.222606,150,189.572565
-7.90895,150,195.948892
-5.64847,150,200.867755
-10.475764,150,205.374181
-8.04321,150,214.206142
-7.513171,150,224.205012
-7.794479,150,235.404379
-5.127005,150,249.197015
-6.579055,150,254.930341
-7.691788,150,262.459341
-6.296033,150,269.490293
-6.277023,150,279.574415
-10.583355,150,287.473136
-9.918729,150,292.300469
-2.939135,150,299.497688
-7.721931,150,312.162371
-5.438897,150,328.442259
-5.803514,150,338.565065
-1.831828,150,347.312742
-6.047614,150,362.205181
-10.008415,150,373.299856
-10.099092,150,379.142659
-11.114959,150,390.218378
-8.442758,150,401.723183
-8.174945,150,407.99103
-10.264853,150,414.725837
-10.096347,150,419.840112
-12.128851,150,432.950293
-5.945098,150,440.665819
-6.559078,150,449.528813
-4.746615,150,464.402097
-8.332236,150,475.420105
-3.560393,150,486.017428
-8.577401,150,493.408633
-6.452026,150,501.425714
-6.415259,150,508.025662
-5.836698,150,513.188394
-6.930365,150,526.452936
-6.794005,150,538.570936
-10.688316,150,549.093111
-6.188567,150,556.091198
-11.346379,150,564.30773
-15.575788,150,568.759391
-8.902766,150,575.567715
-8.064891,150,585.146998
-5.922119,150,593.656145
-6.532467,150,605.811006
-4.307911,150,617.299413
-8.805393,150,631.993541
-3.542881,150,648.387342
-10.193916,150,653.383349
-4.885452,150,671.116161
-6.909702,150,677.31451
-6.603432,150,683.639676
-7.564373,150,690.20792
-10.160252,150,696.41278
-6.298222,150,702.850598
-6.19014,150,709.626654
-2.595785,150,719.158591
-7.672761,150,725.582134
-6.198089,150,746.335541
-6.977368,150,754.264981
-9.505391,150,762.560207
-12.609147,150,774.399341
-2.936475,150,785.163201
-7.502221,150,801.030793
-4.414327,150,810.298791
-5.322992,150,822.155404
-7.183433,150,829.933821
-5.971047,150,840.917997
-10.107457,150,847.947005
-7.67048,150,858.514967
-9.690865,150,865.028928
-6.376454,150,871.459109
-9.635759,150,876.474493
-6.04043,150,883.753816
-5.567511,150,891.164677
-7.262886,150,897.763873
-7.848996,150,908.006169
-11.445471,150,914.925263
-6.572333,150,925.642002
-11.38376,150,941.140496
-2.732929,150,949.343625
-3.677359,150,958.823331
-6.189845,150,964.267038
-7.541512,150,969.237417
-5.290742,150,977.091503
-6.153452,150,986.501733
-2.742807,150,993.843935
-4.748786,150,1008.565161
-7.929571,150,1028.021953
-8.067929,150,1042.706352
-8.247714,150,1051.78343
-7.678822,150,1058.922062
-9.184051,150,1065.137018
-4.773913,150,1076.394496
-7.210094,150,1085.276946
-3.425654,150,1096.394646
-6.105134,150,1103.415039
-7.005772,150,1112.816352
-8.728638,150,1121.781047
-9.371328,150,1138.111256
-6.192691,150,1144.853742
-8.775074,150,1150.196233
